business_postal_code_1,inspection_id,inspection_date,inspection_score,violation_description,risk_category,neighborhoods,Current Police Districts,population,avg_income
94109,2797_20190530,May,88,Foods not protected from contamination,Moderate Risk,100,4,"56,322","$43,444.00 "
94122,35702_20190425,April,73,Unclean nonfood contact surfaces,Low Risk,39,10,"55,492","$60,733.00 "
94110,2871_20190220,February,94,Inadequate warewashing facilities or equipment,Low Risk,53,3,"74,633","$53,795.00 "
94110,2347_20181107,November,86,Inadequate and inaccessible handwashing facilities,Moderate Risk,53,3,"74,633","$53,795.00 "
94111,116_20190304,March,89,Improper or defective plumbing,Low Risk,108,6,"3,335","$56,569.00 "
94132,37820_20170926,September,90,Unclean or degraded floors walls or ceilings,Low Risk,42,10,"26,291","$55,000.00 "
94122,64525_20180814,August,85,Moderate risk food holding temperature,Moderate Risk,109,7,"55,492","$60,733.00 "
94114,4978_20171010,October,70,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,84,3,"30,574","$75,727.00 "
94110,7663_20190102,January,90,Moderate risk vermin infestation,Moderate Risk,53,3,"74,633","$53,795.00 "
94121,3591_20180326,March,79,Unclean nonfood contact surfaces,Low Risk,8,8,"42,473","$61,776.00 "
94122,3183_20180502,May,96,Unclean or degraded floors walls or ceilings,Low Risk,109,10,"55,492","$60,733.00 "
94105,1614_20171107,November,94,Inadequate dressing rooms or improper storage of personal items,Low Risk,108,6,"2,058","$88,976.00 "
94111,9631_20170710,July,85,High risk food holding temperature,High Risk,108,6,"3,335","$56,569.00 "
94102,17616_20180906,September,96,Foods not protected from contamination,Moderate Risk,21,4,"28,991","$22,351.00 "
94117,62548_20190708,July,83,Improper storage of equipment utensils or linens,Low Risk,26,4,"38,758","$63,983.00 "
94133,3151_20161114,November,62,Improper storage use or identification of toxic substances,Low Risk,104,6,"26,827","$40,990.00 "
94123,4703_20180207,February,88,Foods not protected from contamination,Moderate Risk,15,4,"22,903","$84,710.00 "
94107,2778_20180807,August,76,Improper cooling methods,High Risk,30,1,"17,368","$61,362.00 "
94103,27799_20170829,August,89,Unclean or unsanitary food contact surfaces,High Risk,32,5,"23,016","$31,131.00 "
94107,6521_20171219,December,92,Foods not protected from contamination,Moderate Risk,54,2,"17,368","$61,362.00 "
94114,4987_20180614,June,89,High risk food holding temperature,High Risk,38,3,"30,574","$75,727.00 "
94114,63156_20170802,August,81,Improper thawing methods,Moderate Risk,38,3,"30,574","$75,727.00 "
94110,36024_20170816,August,81,Improper food storage,Low Risk,53,3,"74,633","$53,795.00 "
94110,5025_20190411,April,90,Employee eating or smoking,Moderate Risk,83,9,"74,633","$53,795.00 "
94112,62573_20170914,September,83,Foods not protected from contamination,Moderate Risk,58,9,"73,104","$57,629.00 "
94121,5077_20190319,March,92,Improper food storage,Low Risk,8,8,"42,473","$61,776.00 "
94117,5842_20181212,December,96,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,114,7,"38,758","$63,983.00 "
94114,4479_20170105,January,92,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,28,7,"30,574","$75,727.00 "
94111,61550_20170626,June,94,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,108,6,"3,335","$56,569.00 "
94102,3019_20190702,July,88,Unapproved or unmaintained equipment or utensils,Low Risk,19,6,"28,991","$22,351.00 "
94133,13041_20190605,June,92,Noncompliance with HAACP plan or variance,Moderate Risk,106,6,"26,827","$40,990.00 "
94122,38808_20190805,August,69,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,39,10,"55,492","$60,733.00 "
94108,905_20190415,April,87,Moderate risk food holding temperature,Moderate Risk,19,6,"13,716","$31,542.00 "
94121,1389_20161026,October,78,Moderate risk vermin infestation,Moderate Risk,8,8,"42,473","$61,776.00 "
94110,4584_20170330,March,94,Unclean or degraded floors walls or ceilings,Low Risk,61,9,"74,633","$53,795.00 "
94123,1122_20161014,October,86,Inadequate sewage or wastewater disposal,Moderate Risk,17,4,"22,903","$84,710.00 "
94133,61351_20180108,January,86,Food safety certificate or food handler card not available,Low Risk,106,6,"26,827","$40,990.00 "
94133,489_20171130,November,75,Improper or defective plumbing,Low Risk,104,6,"26,827","$40,990.00 "
94114,1609_20180425,April,76,Foods not protected from contamination,Moderate Risk,84,3,"30,574","$75,727.00 "
94103,3651_20171116,November,90,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,53,3,"23,016","$31,131.00 "
94116,59407_20171207,December,90,Moderate risk food holding temperature,Moderate Risk,40,10,"42,958","$66,627.00 "
94110,18514_20180530,May,73,Employee eating or smoking,Moderate Risk,53,3,"74,633","$53,795.00 "
94110,61467_20170302,March,92,Unclean or degraded floors walls or ceilings,Low Risk,53,3,"74,633","$53,795.00 "
94122,34585_20180208,February,86,Improper food storage,Low Risk,109,10,"55,492","$60,733.00 "
94115,4492_20180627,June,81,Moderate risk vermin infestation,Moderate Risk,103,4,"33,115","$54,879.00 "
94109,3120_20190917,September,85,Moderate risk vermin infestation,Moderate Risk,99,6,"56,322","$43,444.00 "
94132,522_20170922,September,92,Permit license or inspection report not posted,Low Risk,41,10,"26,291","$55,000.00 "
94132,4636_20170712,July,92,Inadequate and inaccessible handwashing facilities,Moderate Risk,41,10,"26,291","$55,000.00 "
94124,61494_20180718,July,61,Improper thawing methods,Moderate Risk,86,2,"33,170","$37,146.00 "
94132,60649_20180213,February,94,Permit license or inspection report not posted,Low Risk,42,10,"26,291","$55,000.00 "
94103,36840_20180614,June,82,Unclean or unsanitary food contact surfaces,High Risk,53,3,"23,016","$31,131.00 "
94122,3217_20180130,January,80,Unapproved or unmaintained equipment or utensils,Low Risk,39,10,"55,492","$60,733.00 "
94103,4335_20190417,April,83,Moderate risk vermin infestation,Moderate Risk,32,1,"23,016","$31,131.00 "
94134,379_20180328,March,77,Foods not protected from contamination,Moderate Risk,91,2,"40,134","$54,342.00 "
94108,34814_20191002,October,87,High risk food holding temperature,High Risk,19,6,"13,716","$31,542.00 "
94118,10282_20190529,May,96,Unapproved or unmaintained equipment or utensils,Low Risk,10,8,"38,939","$61,609.00 "
94131,27055_20180205,February,90,Insufficient hot water or running water,Moderate Risk,59,9,"27,897","$76,044.00 "
94107,63597_20190910,September,89,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,32,1,"17,368","$61,362.00 "
94114,60380_20170920,September,92,Inadequate and inaccessible handwashing facilities,Moderate Risk,84,3,"30,574","$75,727.00 "
94133,59002_20190709,July,94,Unclean or degraded floors walls or ceilings,Low Risk,104,6,"26,827","$40,990.00 "
94118,63860_20181010,October,94,Unapproved or unmaintained equipment or utensils,Low Risk,12,8,"38,939","$61,609.00 "
94111,3134_20190130,January,81,High risk food holding temperature,High Risk,108,6,"3,335","$56,569.00 "
94118,16047_20180710,July,93,Unclean or unsanitary food contact surfaces,High Risk,5,8,"38,939","$61,609.00 "
94121,1791_20170126,January,86,Unclean or degraded floors walls or ceilings,Low Risk,8,8,"42,473","$61,776.00 "
94110,1008_20190403,April,66,Unapproved or unmaintained equipment or utensils,Low Risk,53,3,"74,633","$53,795.00 "
94123,4708_20171215,December,92,Food safety certificate or food handler card not available,Low Risk,15,4,"22,903","$84,710.00 "
94122,35702_20190425,April,73,High risk food holding temperature,High Risk,39,10,"55,492","$60,733.00 "
94127,2808_20190710,July,70,Unclean hands or improper use of gloves,High Risk,67,10,"20,624","$95,313.00 "
94110,16424_20170209,February,92,Improper food storage,Low Risk,60,9,"74,633","$53,795.00 "
94111,64380_20180606,June,83,Unapproved or unmaintained equipment or utensils,Low Risk,108,6,"3,335","$56,569.00 "
94108,4608_20190326,March,76,Improper food storage,Low Risk,104,6,"13,716","$31,542.00 "
94122,3221_20171107,November,88,Unclean nonfood contact surfaces,Low Risk,109,10,"55,492","$60,733.00 "
94110,61467_20190103,January,86,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,53,3,"74,633","$53,795.00 "
94112,57579_20190813,August,75,High risk food holding temperature,High Risk,80,9,"73,104","$57,629.00 "
94111,1615_20190725,July,88,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,108,6,"3,335","$56,569.00 "
94121,36571_20190308,March,85,Low risk vermin infestation,Low Risk,8,8,"42,473","$61,776.00 "
94102,59153_20161020,October,77,High risk vermin infestation,High Risk,20,5,"28,991","$22,351.00 "
94110,2315_20190812,August,92,Foods not protected from contamination,Moderate Risk,53,3,"74,633","$53,795.00 "
94121,1973_20181105,November,83,Unclean nonfood contact surfaces,Low Risk,8,8,"42,473","$61,776.00 "
94102,26343_20180731,July,90,Inadequate and inaccessible handwashing facilities,Moderate Risk,20,5,"28,991","$22,351.00 "
94117,64843_20190502,May,84,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,26,4,"38,758","$63,983.00 "
94104,2249_20190712,July,88,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk,108,6,374,"$14,609.00 "
94105,409_20190103,January,66,Unapproved or unmaintained equipment or utensils,Low Risk,32,1,"2,058","$88,976.00 "
94108,500_20190201,February,83,High risk food holding temperature,High Risk,19,6,"13,716","$31,542.00 "
94110,63940_20180821,August,86,Moderate risk food holding temperature,Moderate Risk,53,3,"74,633","$53,795.00 "
94103,2134_20171211,December,87,High risk food holding temperature,High Risk,32,1,"23,016","$31,131.00 "
94110,1081_20190417,April,89,High risk vermin infestation,High Risk,53,3,"74,633","$53,795.00 "
94133,2826_20180426,April,90,Moderate risk vermin infestation,Moderate Risk,106,6,"26,827","$40,990.00 "
94122,1954_20170920,September,90,Moderate risk food holding temperature,Moderate Risk,39,10,"55,492","$60,733.00 "
94112,824_20180613,June,77,Improper storage of equipment utensils or linens,Low Risk,94,9,"73,104","$57,629.00 "
94117,61206_20181001,October,84,Unapproved or unmaintained equipment or utensils,Low Risk,26,4,"38,758","$63,983.00 "
94105,35592_20190729,July,87,Improper reheating of food,High Risk,108,1,"2,058","$88,976.00 "
94108,30156_20180214,February,98,Unapproved or unmaintained equipment or utensils,Low Risk,16,6,"13,716","$31,542.00 "
94121,1926_20171013,October,84,Unapproved or unmaintained equipment or utensils,Low Risk,7,8,"42,473","$61,776.00 "
94105,28843_20170303,March,92,Improper storage of equipment utensils or linens,Low Risk,32,1,"2,058","$88,976.00 "
94110,4864_20180614,June,83,Unclean nonfood contact surfaces,Low Risk,53,3,"74,633","$53,795.00 "
94110,5999_20170109,January,94,Moderate risk food holding temperature,Moderate Risk,53,3,"74,633","$53,795.00 "
94107,3065_20190410,April,87,High risk food holding temperature,High Risk,32,1,"17,368","$61,362.00 "
94110,18514_20171010,October,72,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,53,3,"74,633","$53,795.00 "
94123,4145_20190826,August,91,Improper storage of equipment utensils or linens,Low Risk,14,4,"22,903","$84,710.00 "
94110,39398_20180416,April,94,Unclean or degraded floors walls or ceilings,Low Risk,83,9,"74,633","$53,795.00 "
94103,7605_20171026,October,92,Insufficient hot water or running water,Moderate Risk,32,1,"23,016","$31,131.00 "
94114,62771_20170809,August,80,Unclean or degraded floors walls or ceilings,Low Risk,38,3,"30,574","$75,727.00 "
94124,61494_20161129,November,78,Unclean or degraded floors walls or ceilings,Low Risk,86,2,"33,170","$37,146.00 "
94105,1673_20170608,June,79,Improper reheating of food,High Risk,108,1,"2,058","$88,976.00 "
94109,60786_20170505,May,96,Foods not protected from contamination,Moderate Risk,50,4,"56,322","$43,444.00 "
94110,2369_20170809,August,86,Unclean or degraded floors walls or ceilings,Low Risk,53,3,"74,633","$53,795.00 "
94107,13218_20190813,August,90,Food safety certificate or food handler card not available,Low Risk,31,1,"17,368","$61,362.00 "
94133,3431_20180430,April,94,Unapproved or unmaintained equipment or utensils,Low Risk,107,6,"26,827","$40,990.00 "
94133,33386_20161028,October,90,Improper food storage,Low Risk,106,6,"26,827","$40,990.00 "
94107,3065_20190410,April,87,Unclean nonfood contact surfaces,Low Risk,32,1,"17,368","$61,362.00 "
94109,3304_20180711,July,69,Unapproved or unmaintained equipment or utensils,Low Risk,100,4,"56,322","$43,444.00 "
94112,2766_20161014,October,81,Improper thawing methods,Moderate Risk,80,9,"73,104","$57,629.00 "
94133,2945_20161012,October,80,Food safety certificate or food handler card not available,Low Risk,106,6,"26,827","$40,990.00 "
94109,34910_20190403,April,94,Unclean or degraded floors walls or ceilings,Low Risk,20,5,"56,322","$43,444.00 "
94102,62462_20190612,June,83,High risk food holding temperature,High Risk,20,5,"28,991","$22,351.00 "
94110,2648_20171129,November,83,Improper cooling methods,High Risk,53,3,"74,633","$53,795.00 "
94118,64484_20171027,October,85,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk,21,4,"38,939","$61,609.00 "
94123,5908_20170314,March,88,Foods not protected from contamination,Moderate Risk,15,4,"22,903","$84,710.00 "
94117,36635_20181016,October,92,Inadequate procedures or records for time as a public health control,Moderate Risk,25,7,"38,758","$63,983.00 "
94107,4774_20180213,February,76,Noncompliance with HAACP plan or variance,Moderate Risk,31,1,"17,368","$61,362.00 "
94118,7711_20190731,July,72,Foods not protected from contamination,Moderate Risk,5,8,"38,939","$61,609.00 "
94118,10931_20181203,December,91,Unclean or unsanitary food contact surfaces,High Risk,12,8,"38,939","$61,609.00 "
94110,32671_20170920,September,86,Moderate risk food holding temperature,Moderate Risk,53,3,"74,633","$53,795.00 "
94107,33851_20190315,March,69,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk,54,1,"17,368","$61,362.00 "
94108,37231_20181226,December,64,Foods not protected from contamination,Moderate Risk,104,6,"13,716","$31,542.00 "
94114,1289_20190404,April,90,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk,115,3,"30,574","$75,727.00 "
94110,37304_20190131,January,71,Unclean hands or improper use of gloves,High Risk,61,9,"74,633","$53,795.00 "
94132,5074_20170130,January,90,Inadequate and inaccessible handwashing facilities,Moderate Risk,43,10,"26,291","$55,000.00 "
94110,38929_20180319,March,82,Inadequate and inaccessible handwashing facilities,Moderate Risk,53,3,"74,633","$53,795.00 "
94109,3300_20190225,February,86,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,100,4,"56,322","$43,444.00 "
94131,1381_20161128,November,85,Improper food storage,Low Risk,96,9,"27,897","$76,044.00 "
94109,2020_20161214,December,74,Unclean or unsanitary food contact surfaces,High Risk,102,4,"56,322","$43,444.00 "
94121,35805_20180514,May,90,Other low risk violation,Low Risk,8,8,"42,473","$61,776.00 "
94122,591_20180206,February,89,Unclean or degraded floors walls or ceilings,Low Risk,109,7,"55,492","$60,733.00 "
94122,64195_20190912,September,88,Unapproved or unmaintained equipment or utensils,Low Risk,39,10,"55,492","$60,733.00 "
94118,64067_20181019,October,98,Unclean or degraded floors walls or ceilings,Low Risk,12,7,"38,939","$61,609.00 "
94124,19373_20170426,April,72,Moderate risk vermin infestation,Moderate Risk,86,2,"33,170","$37,146.00 "
94114,5856_20190923,September,98,Low risk vermin infestation,Low Risk,37,3,"30,574","$75,727.00 "
94108,891_20171228,December,96,Improper storage use or identification of toxic substances,Low Risk,104,6,"13,716","$31,542.00 "
94110,38423_20190103,January,96,Moderate risk vermin infestation,Moderate Risk,53,3,"74,633","$53,795.00 "
94110,63169_20190708,July,92,Unpermitted food facility,Low Risk,53,3,"74,633","$53,795.00 "
94104,140_20180105,January,86,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,108,6,374,"$14,609.00 "
94103,28206_20170510,May,74,Unclean or degraded floors walls or ceilings,Low Risk,32,5,"23,016","$31,131.00 "
94111,57552_20161206,December,68,Moderate risk food holding temperature,Moderate Risk,108,6,"3,335","$56,569.00 "
94118,2544_20170831,August,79,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,5,8,"38,939","$61,609.00 "
94102,2922_20161216,December,76,Foods not protected from contamination,Moderate Risk,50,6,"28,991","$22,351.00 "
94112,18310_20170511,May,83,Improper food storage,Low Risk,90,9,"73,104","$57,629.00 "
94110,7786_20171018,October,85,High risk food holding temperature,High Risk,53,3,"74,633","$53,795.00 "
94105,17689_20170216,February,70,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,32,1,"2,058","$88,976.00 "
94102,10433_20190124,January,70,Moderate risk vermin infestation,Moderate Risk,19,6,"28,991","$22,351.00 "
94110,32170_20171017,October,88,Unclean or degraded floors walls or ceilings,Low Risk,53,3,"74,633","$53,795.00 "
94103,58637_20180328,March,96,Improper or defective plumbing,Low Risk,32,5,"23,016","$31,131.00 "
94110,45_20170914,September,85,Unclean nonfood contact surfaces,Low Risk,83,9,"74,633","$53,795.00 "
94133,6734_20171108,November,84,Unclean or degraded floors walls or ceilings,Low Risk,104,6,"26,827","$40,990.00 "
94108,3543_20171128,November,90,Moderate risk food holding temperature,Moderate Risk,104,6,"13,716","$31,542.00 "
94116,61598_20170224,February,96,Moderate risk food holding temperature,Moderate Risk,39,10,"42,958","$66,627.00 "
94105,18120_20180424,April,88,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,32,1,"2,058","$88,976.00 "
94112,36208_20161026,October,92,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,94,9,"73,104","$57,629.00 "
94105,60208_20190226,February,87,Moderate risk food holding temperature,Moderate Risk,108,6,"2,058","$88,976.00 "
94103,2764_20181011,October,89,Low risk vermin infestation,Low Risk,53,3,"23,016","$31,131.00 "
94111,10540_20170605,June,72,Foods not protected from contamination,Moderate Risk,108,6,"3,335","$56,569.00 "
94115,625_20190315,March,86,Low risk vermin infestation,Low Risk,103,4,"33,115","$54,879.00 "
94103,3393_20161118,November,96,Foods not protected from contamination,Moderate Risk,32,1,"23,016","$31,131.00 "
94103,36745_20190411,April,85,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,32,1,"23,016","$31,131.00 "
94132,3267_20170623,June,85,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,41,10,"26,291","$55,000.00 "
94115,9745_20170720,July,94,Other moderate risk violation,Moderate Risk,97,4,"33,115","$54,879.00 "
94102,3642_20171204,December,92,Moderate risk vermin infestation,Moderate Risk,21,4,"28,991","$22,351.00 "
94118,39810_20190226,February,92,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,5,8,"38,939","$61,609.00 "
94110,2335_20180612,June,90,Low risk vermin infestation,Low Risk,53,3,"74,633","$53,795.00 "
94109,703_20180417,April,73,Moderate risk food holding temperature,Moderate Risk,20,5,"56,322","$43,444.00 "
94117,2374_20180412,April,80,Unclean or unsanitary food contact surfaces,High Risk,24,4,"38,758","$63,983.00 "
94111,61499_20190219,February,83,High risk food holding temperature,High Risk,108,6,"3,335","$56,569.00 "
94115,7575_20190206,February,86,Improper food storage,Low Risk,101,4,"33,115","$54,879.00 "
94110,1231_20190917,September,83,Permit license or inspection report not posted,Low Risk,53,3,"74,633","$53,795.00 "
94103,15120_20170407,April,92,Permit license or inspection report not posted,Low Risk,32,5,"23,016","$31,131.00 "
94110,64717_20190813,August,98,Low risk vermin infestation,Low Risk,37,3,"74,633","$53,795.00 "
94110,2749_20180518,May,89,Improper cooling methods,High Risk,83,9,"74,633","$53,795.00 "
94105,13623_20190625,June,90,Improper storage of equipment utensils or linens,Low Risk,32,1,"2,058","$88,976.00 "
94118,10877_20190701,July,48,Unclean or unsanitary food contact surfaces,High Risk,5,8,"38,939","$61,609.00 "
94123,3317_20171026,October,80,Moderate risk food holding temperature,Moderate Risk,15,4,"22,903","$84,710.00 "
94111,786_20190906,September,90,Insufficient hot water or running water,Moderate Risk,77,6,"3,335","$56,569.00 "
94103,19417_20170224,February,96,Improper storage of equipment utensils or linens,Low Risk,32,6,"23,016","$31,131.00 "
94102,62308_20171026,October,86,Moderate risk vermin infestation,Moderate Risk,21,5,"28,991","$22,351.00 "
94109,3674_20161014,October,92,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,105,4,"56,322","$43,444.00 "
94133,6962_20190430,April,69,Unapproved or unmaintained equipment or utensils,Low Risk,104,6,"26,827","$40,990.00 "
94102,4729_20161027,October,81,Inadequate and inaccessible handwashing facilities,Moderate Risk,20,5,"28,991","$22,351.00 "
94110,999_20190909,September,80,Insufficient hot water or running water,Moderate Risk,53,3,"74,633","$53,795.00 "
94115,3046_20180627,June,96,Unclean or degraded floors walls or ceilings,Low Risk,103,4,"33,115","$54,879.00 "
94105,13623_20190625,June,90,Improper food storage,Low Risk,32,1,"2,058","$88,976.00 "
94109,283_20170209,February,81,Unapproved or unmaintained equipment or utensils,Low Risk,20,5,"56,322","$43,444.00 "
94131,507_20170823,August,86,Unclean or degraded floors walls or ceilings,Low Risk,96,9,"27,897","$76,044.00 "
94110,4449_20161215,December,80,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,83,9,"74,633","$53,795.00 "
94102,63150_20170809,August,72,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,21,5,"28,991","$22,351.00 "
94109,5017_20180605,June,86,Unclean or degraded floors walls or ceilings,Low Risk,100,4,"56,322","$43,444.00 "
94110,1081_20180523,May,94,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,53,3,"74,633","$53,795.00 "
94121,3189_20180418,April,90,Moderate risk food holding temperature,Moderate Risk,8,8,"42,473","$61,776.00 "
94104,3561_20190722,July,77,Moderate risk food holding temperature,Moderate Risk,108,6,374,"$14,609.00 "
94103,3614_20161013,October,76,Unclean hands or improper use of gloves,High Risk,53,3,"23,016","$31,131.00 "
94103,5297_20190122,January,93,Improper cooling methods,High Risk,32,1,"23,016","$31,131.00 "
94133,58673_20171206,December,84,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,104,6,"26,827","$40,990.00 "
94123,35507_20180105,January,92,Unclean or degraded floors walls or ceilings,Low Risk,17,4,"22,903","$84,710.00 "
94107,3397_20170322,March,94,Unclean nonfood contact surfaces,Low Risk,31,1,"17,368","$61,362.00 "
94107,14071_20180307,March,92,Permit license or inspection report not posted,Low Risk,34,1,"17,368","$61,362.00 "
94118,37232_20180126,January,94,Unapproved or unmaintained equipment or utensils,Low Risk,10,8,"38,939","$61,609.00 "
94111,13831_20190425,April,79,Insufficient hot water or running water,Moderate Risk,108,6,"3,335","$56,569.00 "
94116,61598_20180125,January,96,Inadequate and inaccessible handwashing facilities,Moderate Risk,39,10,"42,958","$66,627.00 "
94111,8249_20190507,May,92,Improper thawing methods,Moderate Risk,108,6,"3,335","$56,569.00 "
94103,2326_20190225,February,68,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,53,3,"23,016","$31,131.00 "
94112,4952_20170629,June,96,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,81,10,"73,104","$57,629.00 "
94103,2764_20180605,June,67,Improper cooling methods,High Risk,53,3,"23,016","$31,131.00 "
94133,2945_20161012,October,80,Inadequate and inaccessible handwashing facilities,Moderate Risk,106,6,"26,827","$40,990.00 "
94121,17947_20181024,October,71,Moderate risk vermin infestation,Moderate Risk,8,8,"42,473","$61,776.00 "
94110,59574_20181023,October,86,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,53,3,"74,633","$53,795.00 "
94110,32925_20180306,March,90,Unclean nonfood contact surfaces,Low Risk,53,3,"74,633","$53,795.00 "
94102,64236_20170725,July,88,Moderate risk food holding temperature,Moderate Risk,50,6,"28,991","$22,351.00 "
94132,3262_20190516,May,92,Unapproved or unmaintained equipment or utensils,Low Risk,62,10,"26,291","$55,000.00 "
94114,35862_20181002,October,94,Moderate risk vermin infestation,Moderate Risk,84,3,"30,574","$75,727.00 "
94132,4860_20180606,June,92,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,43,10,"26,291","$55,000.00 "
94122,3237_20170713,July,60,Unclean hands or improper use of gloves,High Risk,39,10,"55,492","$60,733.00 "
94115,60554_20190322,March,94,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,97,7,"33,115","$54,879.00 "
94103,2580_20190805,August,92,Inadequate and inaccessible handwashing facilities,Moderate Risk,32,1,"23,016","$31,131.00 "
94122,64195_20170104,January,86,Moderate risk food holding temperature,Moderate Risk,39,10,"55,492","$60,733.00 "
94109,37682_20190206,February,82,Moderate risk food holding temperature,Moderate Risk,50,6,"56,322","$43,444.00 "
94133,63248_20170719,July,94,Moderate risk vermin infestation,Moderate Risk,106,6,"26,827","$40,990.00 "
94102,59153_20180627,June,83,Unapproved or unmaintained equipment or utensils,Low Risk,20,5,"28,991","$22,351.00 "
94115,6025_20190314,March,85,Moderate risk vermin infestation,Moderate Risk,101,4,"33,115","$54,879.00 "
94107,19041_20161110,November,85,Improper storage of equipment utensils or linens,Low Risk,34,1,"17,368","$61,362.00 "
94109,6640_20171002,October,92,Unclean unmaintained or improperly constructed toilet facilities,Low Risk,20,5,"56,322","$43,444.00 "
94103,35882_20190610,June,96,Food safety certificate or food handler card not available,Low Risk,32,1,"23,016","$31,131.00 "
94121,36571_20161028,October,74,Unclean hands or improper use of gloves,High Risk,8,8,"42,473","$61,776.00 "
94123,63082_20170512,May,70,Food safety certificate or food handler card not available,Low Risk,15,4,"22,903","$84,710.00 "
94103,2437_20190225,February,88,Employee eating or smoking,Moderate Risk,32,1,"23,016","$31,131.00 "
94115,34066_20161028,October,90,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,103,4,"33,115","$54,879.00 "
94102,3373_20170223,February,82,Unclean nonfood contact surfaces,Low Risk,19,5,"28,991","$22,351.00 "
94112,61915_20161103,November,80,High risk food holding temperature,High Risk,66,9,"73,104","$57,629.00 "
94124,6916_20190313,March,77,Moderate risk food holding temperature,Moderate Risk,54,2,"33,170","$37,146.00 "
94121,876_20190102,January,74,Improper thawing methods,Moderate Risk,8,8,"42,473","$61,776.00 "
94134,4803_20181203,December,73,Unapproved or unmaintained equipment or utensils,Low Risk,91,2,"40,134","$54,342.00 "
94111,58_20170918,September,70,Improper or defective plumbing,Low Risk,108,6,"3,335","$56,569.00 "
94104,61635_20171106,November,92,Inadequate warewashing facilities or equipment,Low Risk,108,6,374,"$14,609.00 "
94102,10433_20161026,October,90,Improper storage of equipment utensils or linens,Low Risk,19,6,"28,991","$22,351.00 "
94118,3392_20170926,September,94,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,12,8,"38,939","$61,609.00 "
94103,60984_20171113,November,90,Inadequate and inaccessible handwashing facilities,Moderate Risk,32,1,"23,016","$31,131.00 "
94122,952_20180628,June,81,Moderate risk food holding temperature,Moderate Risk,39,10,"55,492","$60,733.00 "
94110,2447_20180212,February,90,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,53,3,"74,633","$53,795.00 "
94110,21982_20190129,January,70,Unclean or unsanitary food contact surfaces,High Risk,61,9,"74,633","$53,795.00 "
94124,19373_20181101,November,66,Moderate risk food holding temperature,Moderate Risk,86,2,"33,170","$37,146.00 "
94103,2842_20170616,June,73,Unclean or unsanitary food contact surfaces,High Risk,32,5,"23,016","$31,131.00 "
94103,2972_20180123,January,81,Unapproved or unmaintained equipment or utensils,Low Risk,32,1,"23,016","$31,131.00 "
94118,544_20170822,August,74,Other low risk violation,Low Risk,5,8,"38,939","$61,609.00 "
94107,88_20171016,October,82,Improper reheating of food,High Risk,54,1,"17,368","$61,362.00 "
94110,1366_20190918,September,72,Moderate risk vermin infestation,Moderate Risk,53,3,"74,633","$53,795.00 "
94114,25777_20180313,March,92,Foods not protected from contamination,Moderate Risk,37,3,"30,574","$75,727.00 "
94117,64843_20161024,October,87,Improper cooling methods,High Risk,26,4,"38,758","$63,983.00 "
94112,393_20180619,June,81,Unapproved or unmaintained equipment or utensils,Low Risk,80,9,"73,104","$57,629.00 "
94118,2544_20170831,August,79,Improper food storage,Low Risk,5,8,"38,939","$61,609.00 "
94127,2808_20190103,January,74,Unapproved or unmaintained equipment or utensils,Low Risk,67,10,"20,624","$95,313.00 "
94131,2664_20161102,November,85,Improper food storage,Low Risk,84,9,"27,897","$76,044.00 "
